latitude	longitude	code_insee	Type équipement ou lieu	count	categorie
		01001	Monument	1	patrimoine
		01004	Bibliothèque	1	vivant
		01004	Cinéma	1	vivant
		01004	Monument	3	patrimoine
		01004	Service d'archives	1	patrimoine
		01005	Bibliothèque	1	vivant
		01005	Monument	1	patrimoine
		01007	Bibliothèque	1	vivant
		01007	Centre culturel	1	vivant
		01007	Monument	2	patrimoine
		01008	Bibliothèque	1	vivant
		01009	Monument	1	patrimoine
		01010	Bibliothèque	1	vivant
		01010	Monument	1	patrimoine
		01012	Bibliothèque	1	vivant
		01014	Bibliothèque	1	vivant
		01014	Monument	1	patrimoine
		01021	Bibliothèque	1	vivant
		01021	Lieu archéologique	1	patrimoine
		01021	Lieu de mémoire	1	patrimoine
		01021	Monument	3	patrimoine
		01022	Bibliothèque	1	vivant
		01024	Bibliothèque	1	vivant
		01025	Bibliothèque	2	vivant
		01025	Monument	1	patrimoine
		01026	Bibliothèque	1	vivant
		01026	Monument	2	patrimoine
		01027	Bibliothèque	1	vivant
		01029	Bibliothèque	1	vivant
		01029	Monument	1	patrimoine
		01030	Bibliothèque	1	vivant
		01030	Monument	1	patrimoine
		01032	Bibliothèque	1	vivant
		01033	Bibliothèque	5	vivant
		01033	Cinéma	1	vivant
		01033	Conservatoire	1	vivant
		01033	Monument	2	patrimoine
		01033	Théâtre	1	vivant
		01034	Bibliothèque	3	vivant
		01034	Cinéma	1	vivant
		01034	Conservatoire	1	vivant
		01034	Monument	11	patrimoine
		01036	Monument	3	patrimoine
		01037	Monument	1	patrimoine
		01038	Bibliothèque	1	vivant
		01038	Monument	1	patrimoine
		01040	Bibliothèque	1	vivant
		01042	Monument	1	patrimoine
		01043	Bibliothèque	1	vivant
		01043	Théâtre	2	vivant
		01046	Bibliothèque	1	vivant
		01046	Monument	1	patrimoine
		01047	Bibliothèque	1	vivant
		01049	Bibliothèque	1	vivant
		01050	Monument	1	patrimoine
		01052	Monument	2	patrimoine
		01053	Bibliothèque	4	vivant
		01053	Cinéma	2	vivant
		01053	Conservatoire	1	vivant
		01053	Librairie	2	vivant
		01053	Monument	36	patrimoine
		01053	Musée	3	vivant
		01053	Scène	2	vivant
		01053	Service d'archives	2	patrimoine
		01054	Bibliothèque	1	vivant
		01056	Monument	2	patrimoine
		01057	Bibliothèque	1	vivant
		01058	Bibliothèque	1	vivant
		01058	Monument	1	patrimoine
		01060	Bibliothèque	1	vivant
		01061	Bibliothèque	1	vivant
		01064	Lieu archéologique	2	patrimoine
		01064	Monument	2	patrimoine
		01064	Musée	1	vivant
		01065	Bibliothèque	1	vivant
		01065	Monument	1	patrimoine
		01067	Monument	1	patrimoine
		01068	Bibliothèque	1	vivant
		01068	Monument	4	patrimoine
		01069	Bibliothèque	1	vivant
		01069	Monument	1	patrimoine
		01071	Bibliothèque	1	vivant
		01072	Bibliothèque	1	vivant
		01074	Bibliothèque	1	vivant
		01074	Monument	3	patrimoine
		01075	Bibliothèque	1	vivant
		01078	Bibliothèque	1	vivant
		01079	Bibliothèque	1	vivant
		01080	Bibliothèque	1	vivant
		01081	Bibliothèque	1	vivant
		01081	Monument	1	patrimoine
		01082	Bibliothèque	1	vivant
		01082	Monument	1	patrimoine
		01083	Bibliothèque	1	vivant
		01084	Bibliothèque	1	vivant
		01084	Monument	1	patrimoine
		01085	Monument	1	patrimoine
		01088	Bibliothèque	1	vivant
		01088	Monument	1	patrimoine
		01089	Bibliothèque	1	vivant
		01092	Bibliothèque	1	vivant
		01092	Monument	1	patrimoine
		01093	Bibliothèque	1	vivant
		01093	Cinéma	1	vivant
		01093	Lieu de mémoire	1	patrimoine
		01093	Monument	5	patrimoine
		01094	Monument	1	patrimoine
		01095	Bibliothèque	1	vivant
		01095	Monument	2	patrimoine
		01096	Bibliothèque	1	vivant
		01096	Monument	1	patrimoine
		01098	Monument	2	patrimoine
		01099	Bibliothèque	1	vivant
		01099	Monument	1	patrimoine
		01099	Musée	1	vivant
		01100	Monument	1	patrimoine
		01102	Bibliothèque	1	vivant
		01102	Monument	2	patrimoine
		01104	Bibliothèque	1	vivant
		01104	Monument	1	patrimoine
		01105	Bibliothèque	1	vivant
		01106	Bibliothèque	1	vivant
		01107	Monument	1	patrimoine
		01108	Bibliothèque	1	vivant
		01108	Monument	2	patrimoine
		01109	Bibliothèque	1	vivant
		01110	Bibliothèque	1	vivant
		01112	Bibliothèque	1	vivant
		01113	Bibliothèque	1	vivant
		01113	Monument	1	patrimoine
		01114	Bibliothèque	1	vivant
		01115	Bibliothèque	1	vivant
		01115	Monument	1	patrimoine
		01116	Bibliothèque	1	vivant
		01116	Monument	1	patrimoine
		01117	Monument	1	patrimoine
		01118	Bibliothèque	1	vivant
		01123	Bibliothèque	1	vivant
		01124	Bibliothèque	1	vivant
		01125	Bibliothèque	1	vivant
		01125	Monument	1	patrimoine
		01127	Bibliothèque	1	vivant
		01128	Monument	1	patrimoine
		01129	Bibliothèque	1	vivant
		01129	Monument	1	patrimoine
		01130	Bibliothèque	2	vivant
		01134	Bibliothèque	1	vivant
		01134	Monument	1	patrimoine
		01135	Bibliothèque	1	vivant
		01136	Bibliothèque	1	vivant
		01138	Bibliothèque	1	vivant
		01138	Monument	2	patrimoine
		01139	Monument	1	patrimoine
		01140	Bibliothèque	1	vivant
		01140	Monument	1	patrimoine
		01143	Bibliothèque	1	vivant
		01143	Cinéma	1	vivant
		01143	Monument	1	patrimoine
		01145	Bibliothèque	1	vivant
		01148	Bibliothèque	1	vivant
		01148	Monument	1	patrimoine
		01149	Bibliothèque	1	vivant
		01150	Bibliothèque	1	vivant
		01151	Bibliothèque	1	vivant
		01152	Bibliothèque	1	vivant
		01153	Bibliothèque	1	vivant
		01157	Bibliothèque	1	vivant
		01157	Monument	1	patrimoine
		01159	Bibliothèque	1	vivant
		01159	Monument	1	patrimoine
		01160	Bibliothèque	1	vivant
		01160	Cinéma	1	vivant
		01160	Conservatoire	1	vivant
		01160	Librairie	1	vivant
		01160	Lieu de mémoire	1	patrimoine
		01160	Monument	6	patrimoine
		01162	Monument	2	patrimoine
		01163	Bibliothèque	1	vivant
		01163	Monument	1	patrimoine
		01165	Monument	1	patrimoine
		01166	Bibliothèque	1	vivant
		01166	Monument	1	patrimoine
		01169	Monument	1	patrimoine
		01173	Bibliothèque	1	vivant
		01173	Cinéma	1	vivant
		01173	Monument	2	patrimoine
		01179	Bibliothèque	1	vivant
		01180	Monument	1	patrimoine
		01183	Monument	1	patrimoine
		01184	Monument	1	patrimoine
		01185	Bibliothèque	1	vivant
		01185	Cinéma	1	vivant
		01185	Monument	1	patrimoine
		01187	Bibliothèque	1	vivant
		01187	Monument	1	patrimoine
		01188	Monument	1	patrimoine
		01189	Bibliothèque	1	vivant
		01189	Monument	1	patrimoine
		01190	Bibliothèque	1	vivant
		01192	Lieu archéologique	2	patrimoine
		01192	Monument	2	patrimoine
		01192	Musée	1	vivant
		01193	Monument	1	patrimoine
		01194	Bibliothèque	1	vivant
		01194	Monument	2	patrimoine
		01195	Bibliothèque	1	vivant
		01195	Monument	2	patrimoine
		01196	Bibliothèque	1	vivant
		01197	Bibliothèque	1	vivant
		01198	Monument	1	patrimoine
		01199	Bibliothèque	1	vivant
		01199	Monument	3	patrimoine
		01200	Bibliothèque	1	vivant
		01202	Bibliothèque	1	vivant
		01202	Monument	2	patrimoine
		01203	Bibliothèque	1	vivant
		01208	Monument	1	patrimoine
		01209	Bibliothèque	1	vivant
		01209	Monument	1	patrimoine
		01210	Bibliothèque	1	vivant
		01211	Bibliothèque	1	vivant
		01211	Monument	1	patrimoine
		01212	Bibliothèque	1	vivant
		01215	Monument	1	patrimoine
		01216	Bibliothèque	1	vivant
		01216	Monument	1	patrimoine
		01224	Bibliothèque	1	vivant
		01227	Monument	1	patrimoine
		01228	Monument	1	patrimoine
		01229	Bibliothèque	1	vivant
		01231	Bibliothèque	1	vivant
		01232	Bibliothèque	1	vivant
		01233	Bibliothèque	1	vivant
		01235	Bibliothèque	1	vivant
		01236	Bibliothèque	1	vivant
		01238	Bibliothèque	1	vivant
		01240	Monument	1	patrimoine
		01241	Bibliothèque	1	vivant
		01241	Cinéma	1	vivant
		01241	Monument	2	patrimoine
		01242	Espace protégé	1	patrimoine
		01243	Bibliothèque	1	vivant
		01243	Monument	1	patrimoine
		01244	Bibliothèque	1	vivant
		01244	Cinéma	1	vivant
		01245	Bibliothèque	1	vivant
		01246	Bibliothèque	1	vivant
		01247	Bibliothèque	1	vivant
		01247	Cinéma	1	vivant
		01247	Monument	1	patrimoine
		01248	Bibliothèque	1	vivant
		01249	Bibliothèque	2	vivant
		01249	Cinéma	1	vivant
		01249	Espace protégé	1	patrimoine
		01249	Monument	3	patrimoine
		01250	Bibliothèque	1	vivant
		01252	Bibliothèque	1	vivant
		01252	Monument	1	patrimoine
		01254	Bibliothèque	1	vivant
		01254	Monument	1	patrimoine
		01258	Monument	1	patrimoine
		01260	Bibliothèque	1	vivant
		01260	Monument	1	patrimoine
		01261	Bibliothèque	1	vivant
		01261	Monument	1	patrimoine
		01262	Bibliothèque	1	vivant
		01262	Cinéma	1	vivant
		01262	Espace protégé	1	patrimoine
		01262	Monument	6	patrimoine
		01263	Bibliothèque	1	vivant
		01264	Bibliothèque	1	vivant
		01264	Monument	1	patrimoine
		01265	Bibliothèque	1	vivant
		01266	Bibliothèque	1	vivant
		01266	Monument	2	patrimoine
		01267	Bibliothèque	1	vivant
		01267	Monument	1	patrimoine
		01268	Monument	1	patrimoine
		01269	Bibliothèque	1	vivant
		01269	Cinéma	1	vivant
		01269	Espace protégé	1	patrimoine
		01269	Monument	1	patrimoine
		01269	Musée	1	vivant
		01272	Bibliothèque	1	vivant
		01272	Monument	1	patrimoine
		01273	Bibliothèque	1	vivant
		01273	Monument	3	patrimoine
		01275	Bibliothèque	1	vivant
		01276	Bibliothèque	1	vivant
		01281	Monument	1	patrimoine
		01282	Bibliothèque	1	vivant
		01283	Bibliothèque	1	vivant
		01283	Cinéma	2	vivant
		01283	Conservatoire	1	vivant
		01283	Monument	2	patrimoine
		01283	Musée	2	vivant
		01283	Scène	1	vivant
		01283	Service d'archives	1	patrimoine
		01284	Bibliothèque	1	vivant
		01286	Bibliothèque	1	vivant
		01286	Monument	2	patrimoine
		01288	Bibliothèque	1	vivant
		01289	Bibliothèque	1	vivant
		01289	Monument	1	patrimoine
		01289	Service d'archives	1	patrimoine
		01290	Monument	81	patrimoine
		01290	Musée	1	vivant
		01291	Bibliothèque	1	vivant
		01291	Monument	1	patrimoine
		01294	Bibliothèque	1	vivant
		01297	Bibliothèque	1	vivant
		01299	Monument	2	patrimoine
		01301	Bibliothèque	1	vivant
		01303	Bibliothèque	1	vivant
		01303	Monument	1	patrimoine
		01304	Bibliothèque	1	vivant
		01304	Monument	1	patrimoine
		01305	Bibliothèque	1	vivant
		01305	Monument	1	patrimoine
		01305	Musée	1	vivant
		01306	Bibliothèque	1	vivant
		01306	Monument	4	patrimoine
		01313	Bibliothèque	1	vivant
		01313	Monument	1	patrimoine
		01317	Monument	1	patrimoine
		01320	Bibliothèque	1	vivant
		01321	Monument	1	patrimoine
		01322	Bibliothèque	1	vivant
		01323	Monument	1	patrimoine
		01325	Bibliothèque	1	vivant
		01325	Monument	1	patrimoine
		01329	Monument	2	patrimoine
		01332	Monument	1	patrimoine
		01333	Bibliothèque	1	vivant
		01333	Monument	1	patrimoine
		01334	Monument	1	patrimoine
		01335	Monument	1	patrimoine
		01336	Bibliothèque	1	vivant
		01337	Bibliothèque	1	vivant
		01338	Monument	2	patrimoine
		01339	Bibliothèque	1	vivant
		01339	Monument	2	patrimoine
		01339	Parc et jardin	1	patrimoine
		01342	Bibliothèque	1	vivant
		01343	Bibliothèque	3	vivant
		01343	Monument	4	patrimoine
		01343	Musée	1	vivant
		01344	Bibliothèque	1	vivant
		01345	Bibliothèque	1	vivant
		01345	Monument	1	patrimoine
		01346	Bibliothèque	1	vivant
		01346	Monument	1	patrimoine
		01347	Bibliothèque	1	vivant
		01348	Bibliothèque	1	vivant
		01349	Bibliothèque	1	vivant
		01350	Bibliothèque	1	vivant
		01351	Bibliothèque	1	vivant
		01351	Monument	2	patrimoine
		01352	Monument	2	patrimoine
		01353	Bibliothèque	1	vivant
		01353	Monument	1	patrimoine
		01354	Bibliothèque	1	vivant
		01354	Cinéma	1	vivant
		01355	Bibliothèque	1	vivant
		01357	Bibliothèque	1	vivant
		01358	Bibliothèque	1	vivant
		01358	Monument	2	patrimoine
		01359	Monument	1	patrimoine
		01360	Bibliothèque	1	vivant
		01361	Bibliothèque	1	vivant
		01362	Monument	1	patrimoine
		01363	Bibliothèque	1	vivant
		01363	Monument	1	patrimoine
		01364	Bibliothèque	1	vivant
		01364	Monument	1	patrimoine
		01365	Bibliothèque	1	vivant
		01365	Monument	1	patrimoine
		01366	Bibliothèque	1	vivant
		01366	Monument	1	patrimoine
		01368	Monument	1	patrimoine
		01369	Bibliothèque	1	vivant
		01370	Bibliothèque	1	vivant
		01370	Monument	1	patrimoine
		01371	Bibliothèque	1	vivant
		01372	Bibliothèque	1	vivant
		01373	Bibliothèque	1	vivant
		01374	Bibliothèque	1	vivant
		01375	Bibliothèque	1	vivant
		01376	Bibliothèque	1	vivant
		01378	Bibliothèque	1	vivant
		01378	Monument	1	patrimoine
		01379	Bibliothèque	1	vivant
		01380	Bibliothèque	1	vivant
		01380	Monument	1	patrimoine
		01381	Bibliothèque	1	vivant
		01381	Monument	1	patrimoine
		01383	Bibliothèque	1	vivant
		01383	Monument	2	patrimoine
		01383	Musée	1	vivant
		01384	Bibliothèque	1	vivant
		01384	Monument	1	patrimoine
		01385	Bibliothèque	1	vivant
		01385	Monument	1	patrimoine
		01386	Bibliothèque	1	vivant
		01386	Monument	2	patrimoine
		01387	Monument	2	patrimoine
		01388	Bibliothèque	1	vivant
		01388	Monument	5	patrimoine
		01389	Bibliothèque	1	vivant
		01389	Monument	1	patrimoine
		01390	Bibliothèque	1	vivant
		01390	Monument	1	patrimoine
		01391	Monument	1	patrimoine
		01393	Monument	1	patrimoine
		01396	Bibliothèque	1	vivant
		01397	Bibliothèque	1	vivant
		01398	Bibliothèque	1	vivant
		01398	Monument	1	patrimoine
		01399	Monument	1	patrimoine
		01400	Monument	1	patrimoine
		01401	Bibliothèque	1	vivant
		01402	Bibliothèque	1	vivant
		01402	Monument	1	patrimoine
		01403	Bibliothèque	1	vivant
		01407	Musée	1	vivant
		01408	Bibliothèque	1	vivant
		01408	Monument	1	patrimoine
		01412	Bibliothèque	1	vivant
		01412	Monument	1	patrimoine
		01416	Bibliothèque	1	vivant
		01418	Bibliothèque	1	vivant
		01419	Bibliothèque	1	vivant
		01420	Bibliothèque	1	vivant
		01420	Monument	1	patrimoine
		01422	Bibliothèque	1	vivant
		01423	Bibliothèque	1	vivant
		01425	Bibliothèque	1	vivant
		01426	Bibliothèque	1	vivant
		01426	Monument	1	patrimoine
		01426	Musée	1	vivant
		01427	Bibliothèque	1	vivant
		01427	Cinéma	1	vivant
		01427	Espace protégé	1	patrimoine
		01427	Monument	9	patrimoine
		01430	Monument	2	patrimoine
		01431	Bibliothèque	1	vivant
		01432	Monument	1	patrimoine
		01433	Monument	2	patrimoine
		01434	Monument	1	patrimoine
		01435	Bibliothèque	1	vivant
		01436	Monument	1	patrimoine
		01437	Monument	2	patrimoine
		01441	Bibliothèque	1	vivant
		01443	Bibliothèque	1	vivant
		01443	Cinéma	1	vivant
		01443	Monument	2	patrimoine
		01443	Musée	1	vivant
		01444	Bibliothèque	1	vivant
		01445	Monument	1	patrimoine
		01446	Bibliothèque	1	vivant
		01446	Monument	1	patrimoine
		01447	Bibliothèque	1	vivant
		01449	Monument	2	patrimoine
		01450	Bibliothèque	1	vivant
		01450	Monument	1	patrimoine
		01451	Bibliothèque	1	vivant
		01451	Monument	1	patrimoine
		01452	Bibliothèque	1	vivant
		01452	Monument	3	patrimoine
		01453	Monument	1	patrimoine
		01453	Musée	1	vivant
		01454	Monument	1	patrimoine
		01456	Monument	1	patrimoine
		01457	Bibliothèque	1	vivant
		01457	Monument	1	patrimoine
		02001	Théâtre	1	vivant
		02003	Théâtre	3	vivant
		02004	Monument	1	patrimoine
		02006	Monument	1	patrimoine
		02008	Monument	2	patrimoine
		02009	Bibliothèque	1	vivant
		02011	Bibliothèque	1	vivant
		02011	Monument	2	patrimoine
		02013	Bibliothèque	1	vivant
		02015	Monument	1	patrimoine
		02016	Monument	1	patrimoine
		02018	Bibliothèque	1	vivant
		02021	Monument	1	patrimoine
		02022	Monument	2	patrimoine
		02023	Monument	2	patrimoine
