Commune	PTOT	REG	DEP	Région	latitude	longitude	code_insee	Type équipement ou lieu	count	categorie
L'Abergement-Clémenciat	848.0	84.0	01	Auvergne-Rhône-Alpes			01001	Monument	1	patrimoine
Ambérieu-en-Bugey	15240.0	84.0	01	Auvergne-Rhône-Alpes			01004	Bibliothèque	1	vivant
Ambérieu-en-Bugey	15240.0	84.0	01	Auvergne-Rhône-Alpes			01004	Cinéma	1	vivant
Ambérieu-en-Bugey	15240.0	84.0	01	Auvergne-Rhône-Alpes			01004	Monument	3	patrimoine
Ambérieu-en-Bugey	15240.0	84.0	01	Auvergne-Rhône-Alpes			01004	Service d'archives	1	patrimoine
Ambérieux-en-Dombes	1921.0	84.0	01	Auvergne-Rhône-Alpes			01005	Bibliothèque	1	vivant
Ambérieux-en-Dombes	1921.0	84.0	01	Auvergne-Rhône-Alpes			01005	Monument	1	patrimoine
Ambronay	2951.0	84.0	01	Auvergne-Rhône-Alpes			01007	Bibliothèque	1	vivant
Ambronay	2951.0	84.0	01	Auvergne-Rhône-Alpes			01007	Centre culturel	1	vivant
Ambronay	2951.0	84.0	01	Auvergne-Rhône-Alpes			01007	Monument	2	patrimoine
Ambutrix	781.0	84.0	01	Auvergne-Rhône-Alpes			01008	Bibliothèque	1	vivant
Andert-et-Condon	330.0	84.0	01	Auvergne-Rhône-Alpes			01009	Monument	1	patrimoine
Anglefort	1149.0	84.0	01	Auvergne-Rhône-Alpes			01010	Bibliothèque	1	vivant
Anglefort	1149.0	84.0	01	Auvergne-Rhône-Alpes			01010	Monument	1	patrimoine
Aranc	340.0	84.0	01	Auvergne-Rhône-Alpes			01012	Bibliothèque	1	vivant
Arbent	3487.0	84.0	01	Auvergne-Rhône-Alpes			01014	Bibliothèque	1	vivant
Arbent	3487.0	84.0	01	Auvergne-Rhône-Alpes			01014	Monument	1	patrimoine
Ars-sur-Formans	1526.0	84.0	01	Auvergne-Rhône-Alpes			01021	Bibliothèque	1	vivant
Ars-sur-Formans	1526.0	84.0	01	Auvergne-Rhône-Alpes			01021	Lieu archéologique	1	patrimoine
Ars-sur-Formans	1526.0	84.0	01	Auvergne-Rhône-Alpes			01021	Lieu de mémoire	1	patrimoine
Ars-sur-Formans	1526.0	84.0	01	Auvergne-Rhône-Alpes			01021	Monument	3	patrimoine
Artemare	1193.0	84.0	01	Auvergne-Rhône-Alpes			01022	Bibliothèque	1	vivant
Attignat	3403.0	84.0	01	Auvergne-Rhône-Alpes			01024	Bibliothèque	1	vivant
Bâgé-Dommartin	4168.0	84.0	01	Auvergne-Rhône-Alpes			01025	Bibliothèque	2	vivant
Bâgé-Dommartin	4168.0	84.0	01	Auvergne-Rhône-Alpes			01025	Monument	1	patrimoine
Bâgé-le-Châtel	1046.0	84.0	01	Auvergne-Rhône-Alpes			01026	Bibliothèque	1	vivant
Bâgé-le-Châtel	1046.0	84.0	01	Auvergne-Rhône-Alpes			01026	Monument	2	patrimoine
Balan	2744.0	84.0	01	Auvergne-Rhône-Alpes			01027	Bibliothèque	1	vivant
Beaupont	712.0	84.0	01	Auvergne-Rhône-Alpes			01029	Bibliothèque	1	vivant
Beaupont	712.0	84.0	01	Auvergne-Rhône-Alpes			01029	Monument	1	patrimoine
Beauregard	845.0	84.0	01	Auvergne-Rhône-Alpes			01030	Bibliothèque	1	vivant
Beauregard	845.0	84.0	01	Auvergne-Rhône-Alpes			01030	Monument	1	patrimoine
Béligneux	3463.0	84.0	01	Auvergne-Rhône-Alpes			01032	Bibliothèque	1	vivant
Valserhône	16611.0	84.0	01	Auvergne-Rhône-Alpes			01033	Bibliothèque	5	vivant
Valserhône	16611.0	84.0	01	Auvergne-Rhône-Alpes			01033	Cinéma	1	vivant
Valserhône	16611.0	84.0	01	Auvergne-Rhône-Alpes			01033	Conservatoire	1	vivant
Valserhône	16611.0	84.0	01	Auvergne-Rhône-Alpes			01033	Monument	2	patrimoine
Valserhône	16611.0	84.0	01	Auvergne-Rhône-Alpes			01033	Théâtre	1	vivant
Belley	9570.0	84.0	01	Auvergne-Rhône-Alpes			01034	Bibliothèque	3	vivant
Belley	9570.0	84.0	01	Auvergne-Rhône-Alpes			01034	Cinéma	1	vivant
Belley	9570.0	84.0	01	Auvergne-Rhône-Alpes			01034	Conservatoire	1	vivant
Belley	9570.0	84.0	01	Auvergne-Rhône-Alpes			01034	Monument	11	patrimoine
Valromey-sur-Séran	1366.0	84.0	01	Auvergne-Rhône-Alpes			01036	Monument	3	patrimoine
Bénonces	313.0	84.0	01	Auvergne-Rhône-Alpes			01037	Monument	1	patrimoine
Bény	782.0	84.0	01	Auvergne-Rhône-Alpes			01038	Bibliothèque	1	vivant
Bény	782.0	84.0	01	Auvergne-Rhône-Alpes			01038	Monument	1	patrimoine
Béréziat	492.0	84.0	01	Auvergne-Rhône-Alpes			01040	Bibliothèque	1	vivant
Bey	297.0	84.0	01	Auvergne-Rhône-Alpes			01042	Monument	1	patrimoine
Beynost	4991.0	84.0	01	Auvergne-Rhône-Alpes			01043	Bibliothèque	1	vivant
Beynost	4991.0	84.0	01	Auvergne-Rhône-Alpes			01043	Théâtre	2	vivant
Biziat	917.0	84.0	01	Auvergne-Rhône-Alpes			01046	Bibliothèque	1	vivant
Biziat	917.0	84.0	01	Auvergne-Rhône-Alpes			01046	Monument	1	patrimoine
Blyes	1327.0	84.0	01	Auvergne-Rhône-Alpes			01047	Bibliothèque	1	vivant
La Boisse	3438.0	84.0	01	Auvergne-Rhône-Alpes			01049	Bibliothèque	1	vivant
Boissey	390.0	84.0	01	Auvergne-Rhône-Alpes			01050	Monument	1	patrimoine
Bouligneux	333.0	84.0	01	Auvergne-Rhône-Alpes			01052	Monument	2	patrimoine
Bourg-en-Bresse	43210.0	84.0	01	Auvergne-Rhône-Alpes			01053	Bibliothèque	4	vivant
Bourg-en-Bresse	43210.0	84.0	01	Auvergne-Rhône-Alpes			01053	Cinéma	2	vivant
Bourg-en-Bresse	43210.0	84.0	01	Auvergne-Rhône-Alpes			01053	Conservatoire	1	vivant
Bourg-en-Bresse	43210.0	84.0	01	Auvergne-Rhône-Alpes			01053	Librairie	2	vivant
Bourg-en-Bresse	43210.0	84.0	01	Auvergne-Rhône-Alpes			01053	Monument	36	patrimoine
Bourg-en-Bresse	43210.0	84.0	01	Auvergne-Rhône-Alpes			01053	Musée	3	vivant
Bourg-en-Bresse	43210.0	84.0	01	Auvergne-Rhône-Alpes			01053	Scène	2	vivant
Bourg-en-Bresse	43210.0	84.0	01	Auvergne-Rhône-Alpes			01053	Service d'archives	2	patrimoine
Bourg-Saint-Christophe	1553.0	84.0	01	Auvergne-Rhône-Alpes			01054	Bibliothèque	1	vivant
Boyeux-Saint-Jérôme	364.0	84.0	01	Auvergne-Rhône-Alpes			01056	Monument	2	patrimoine
Boz	526.0	84.0	01	Auvergne-Rhône-Alpes			01057	Bibliothèque	1	vivant
Brégnier-Cordon	837.0	84.0	01	Auvergne-Rhône-Alpes			01058	Bibliothèque	1	vivant
Brégnier-Cordon	837.0	84.0	01	Auvergne-Rhône-Alpes			01058	Monument	1	patrimoine
Brénod	529.0	84.0	01	Auvergne-Rhône-Alpes			01060	Bibliothèque	1	vivant
Brens	1163.0	84.0	01	Auvergne-Rhône-Alpes			01061	Bibliothèque	1	vivant
Briord	1118.0	84.0	01	Auvergne-Rhône-Alpes			01064	Lieu archéologique	2	patrimoine
Briord	1118.0	84.0	01	Auvergne-Rhône-Alpes			01064	Monument	2	patrimoine
Briord	1118.0	84.0	01	Auvergne-Rhône-Alpes			01064	Musée	1	vivant
Buellas	1916.0	84.0	01	Auvergne-Rhône-Alpes			01065	Bibliothèque	1	vivant
Buellas	1916.0	84.0	01	Auvergne-Rhône-Alpes			01065	Monument	1	patrimoine
Ceignes	273.0	84.0	01	Auvergne-Rhône-Alpes			01067	Monument	1	patrimoine
Cerdon	777.0	84.0	01	Auvergne-Rhône-Alpes			01068	Bibliothèque	1	vivant
Cerdon	777.0	84.0	01	Auvergne-Rhône-Alpes			01068	Monument	4	patrimoine
Certines	1544.0	84.0	01	Auvergne-Rhône-Alpes			01069	Bibliothèque	1	vivant
Certines	1544.0	84.0	01	Auvergne-Rhône-Alpes			01069	Monument	1	patrimoine
Cessy	5413.0	84.0	01	Auvergne-Rhône-Alpes			01071	Bibliothèque	1	vivant
Ceyzériat	3349.0	84.0	01	Auvergne-Rhône-Alpes			01072	Bibliothèque	1	vivant
Chalamont	2595.0	84.0	01	Auvergne-Rhône-Alpes			01074	Bibliothèque	1	vivant
Chalamont	2595.0	84.0	01	Auvergne-Rhône-Alpes			01074	Monument	3	patrimoine
Chaleins	1463.0	84.0	01	Auvergne-Rhône-Alpes			01075	Bibliothèque	1	vivant
Challex	1655.0	84.0	01	Auvergne-Rhône-Alpes			01078	Bibliothèque	1	vivant
Champagne-en-Valromey	856.0	84.0	01	Auvergne-Rhône-Alpes			01079	Bibliothèque	1	vivant
Champdor-Corcelles	660.0	84.0	01	Auvergne-Rhône-Alpes			01080	Bibliothèque	1	vivant
Champfromier	740.0	84.0	01	Auvergne-Rhône-Alpes			01081	Bibliothèque	1	vivant
Champfromier	740.0	84.0	01	Auvergne-Rhône-Alpes			01081	Monument	1	patrimoine
Chanay	629.0	84.0	01	Auvergne-Rhône-Alpes			01082	Bibliothèque	1	vivant
Chanay	629.0	84.0	01	Auvergne-Rhône-Alpes			01082	Monument	1	patrimoine
Chaneins	1022.0	84.0	01	Auvergne-Rhône-Alpes			01083	Bibliothèque	1	vivant
Chanoz-Châtenay	949.0	84.0	01	Auvergne-Rhône-Alpes			01084	Bibliothèque	1	vivant
Chanoz-Châtenay	949.0	84.0	01	Auvergne-Rhône-Alpes			01084	Monument	1	patrimoine
La Chapelle-du-Châtelard	400.0	84.0	01	Auvergne-Rhône-Alpes			01085	Monument	1	patrimoine
Charnoz-sur-Ain	927.0	84.0	01	Auvergne-Rhône-Alpes			01088	Bibliothèque	1	vivant
Charnoz-sur-Ain	927.0	84.0	01	Auvergne-Rhône-Alpes			01088	Monument	1	patrimoine
Château-Gaillard	2335.0	84.0	01	Auvergne-Rhône-Alpes			01089	Bibliothèque	1	vivant
Châtillon-la-Palud	1710.0	84.0	01	Auvergne-Rhône-Alpes			01092	Bibliothèque	1	vivant
Châtillon-la-Palud	1710.0	84.0	01	Auvergne-Rhône-Alpes			01092	Monument	1	patrimoine
Châtillon-sur-Chalaronne	5255.0	84.0	01	Auvergne-Rhône-Alpes			01093	Bibliothèque	1	vivant
Châtillon-sur-Chalaronne	5255.0	84.0	01	Auvergne-Rhône-Alpes			01093	Cinéma	1	vivant
Châtillon-sur-Chalaronne	5255.0	84.0	01	Auvergne-Rhône-Alpes			01093	Lieu de mémoire	1	patrimoine
Châtillon-sur-Chalaronne	5255.0	84.0	01	Auvergne-Rhône-Alpes			01093	Monument	5	patrimoine
Chavannes-sur-Reyssouze	779.0	84.0	01	Auvergne-Rhône-Alpes			01094	Monument	1	patrimoine
Nivigne et Suran	850.0	84.0	01	Auvergne-Rhône-Alpes			01095	Bibliothèque	1	vivant
Nivigne et Suran	850.0	84.0	01	Auvergne-Rhône-Alpes			01095	Monument	2	patrimoine
Chaveyriat	1064.0	84.0	01	Auvergne-Rhône-Alpes			01096	Bibliothèque	1	vivant
Chaveyriat	1064.0	84.0	01	Auvergne-Rhône-Alpes			01096	Monument	1	patrimoine
Chazey-Bons	1227.0	84.0	01	Auvergne-Rhône-Alpes			01098	Monument	2	patrimoine
Chazey-sur-Ain	1660.0	84.0	01	Auvergne-Rhône-Alpes			01099	Bibliothèque	1	vivant
Chazey-sur-Ain	1660.0	84.0	01	Auvergne-Rhône-Alpes			01099	Monument	1	patrimoine
Chazey-sur-Ain	1660.0	84.0	01	Auvergne-Rhône-Alpes			01099	Musée	1	vivant
Cheignieu-la-Balme	135.0	84.0	01	Auvergne-Rhône-Alpes			01100	Monument	1	patrimoine
Chevroux	989.0	84.0	01	Auvergne-Rhône-Alpes			01102	Bibliothèque	1	vivant
Chevroux	989.0	84.0	01	Auvergne-Rhône-Alpes			01102	Monument	2	patrimoine
Chézery-Forens	457.0	84.0	01	Auvergne-Rhône-Alpes			01104	Bibliothèque	1	vivant
Chézery-Forens	457.0	84.0	01	Auvergne-Rhône-Alpes			01104	Monument	1	patrimoine
Civrieux	1969.0	84.0	01	Auvergne-Rhône-Alpes			01105	Bibliothèque	1	vivant
Cize	183.0	84.0	01	Auvergne-Rhône-Alpes			01106	Bibliothèque	1	vivant
Cleyzieu	144.0	84.0	01	Auvergne-Rhône-Alpes			01107	Monument	1	patrimoine
Coligny	1241.0	84.0	01	Auvergne-Rhône-Alpes			01108	Bibliothèque	1	vivant
Coligny	1241.0	84.0	01	Auvergne-Rhône-Alpes			01108	Monument	2	patrimoine
Collonges	2296.0	84.0	01	Auvergne-Rhône-Alpes			01109	Bibliothèque	1	vivant
Colomieu	165.0	84.0	01	Auvergne-Rhône-Alpes			01110	Bibliothèque	1	vivant
Condamine	479.0	84.0	01	Auvergne-Rhône-Alpes			01112	Bibliothèque	1	vivant
Condeissiat	827.0	84.0	01	Auvergne-Rhône-Alpes			01113	Bibliothèque	1	vivant
Condeissiat	827.0	84.0	01	Auvergne-Rhône-Alpes			01113	Monument	1	patrimoine
Confort	696.0	84.0	01	Auvergne-Rhône-Alpes			01114	Bibliothèque	1	vivant
Confrançon	1379.0	84.0	01	Auvergne-Rhône-Alpes			01115	Bibliothèque	1	vivant
Confrançon	1379.0	84.0	01	Auvergne-Rhône-Alpes			01115	Monument	1	patrimoine
Contrevoz	507.0	84.0	01	Auvergne-Rhône-Alpes			01116	Bibliothèque	1	vivant
Contrevoz	507.0	84.0	01	Auvergne-Rhône-Alpes			01116	Monument	1	patrimoine
Conzieu	150.0	84.0	01	Auvergne-Rhône-Alpes			01117	Monument	1	patrimoine
Corbonod	1313.0	84.0	01	Auvergne-Rhône-Alpes			01118	Bibliothèque	1	vivant
Cormoranche-sur-Saône	1199.0	84.0	01	Auvergne-Rhône-Alpes			01123	Bibliothèque	1	vivant
Cormoz	708.0	84.0	01	Auvergne-Rhône-Alpes			01124	Bibliothèque	1	vivant
