"Nom commune principale";"Code Insee commune";"Région";"Département";"Code Postal";"Type";"Nom d'evenement";"Latitude";"Longitude";"PTOT";"Petite commune"
Ablis;"78003";Île-de-France;Yvelines;78660;Bibliothèque;Médiathèque Emile Zola;"48.5172581506268";"1.83308318584205";3767;oui
Ablis;"78003";Île-de-France;Yvelines;78660;Monument;Ancienne Abbaye;"48.516767";"1.83556";3767;oui
Ablis;"78003";Île-de-France;Yvelines;78660;Monument;Eglise Saint-Pierre Saint-Paul;"48.532034";"1.85145";3767;oui
Agon-Coutainville;"50003";Normandie;Manche;50230;Bibliothèque;Bibliothèque d'Agon-Coutainville;"49.0489675612946";-1.59590358465716;3003;oui
Agon-Coutainville;"50003";Normandie;Manche;50230;Cinéma;Cinema de L'espace;"49.0487530900429";-1.59584291662266;3003;oui
Agon-Coutainville;"50003";Normandie;Manche;50230;Monument;Hôtel de Voyageurs Dit Hôtel de La Plage, Actuellement Résidence Le Voltaire;"49.049362";-1.601208;3003;oui
Agon-Coutainville;"50003";Normandie;Manche;50230;Monument;Vieux Manoir de Coutainville;"49.03387";-1.582044;3003;oui
Ahun;"23001";Nouvelle-Aquitaine;Creuse;23150;Monument;Château de Chantemille;"46.094674";"2.020885";1666;oui
Ahun;"23001";Nouvelle-Aquitaine;Creuse;23150;Monument;Château de La Chezotte;"46.094674";"2.020885";1666;oui
Ahun;"23001";Nouvelle-Aquitaine;Creuse;23150;Monument;Château de Massenon;"46.094674";"2.020885";1666;oui
Ahun;"23001";Nouvelle-Aquitaine;Creuse;23150;Monument;Eglise Saint-Sylvain;"46.094674";"2.020885";1666;oui
Ahun;"23001";Nouvelle-Aquitaine;Creuse;23150;Monument;Fontaine;"46.094674";"2.020885";1666;oui
Ahun;"23001";Nouvelle-Aquitaine;Creuse;23150;Monument;Viaduc de Busseau-Sur-Creuse (Également Sur Commune de Pionnat);"46.094674";"2.020885";1666;oui
Aigre;"16005";Nouvelle-Aquitaine;Charente;16140;Bibliothèque;Bibliothèque Coeur de Charente - Aigre;"45.893161555675";"0.00930948748957803";1619;oui
Aigueperse;"63001";Auvergne-Rhône-Alpes;Puy-de-Dôme;63260;Bibliothèque;Médiathèque Ludothèque de la communauté de communes Plaine L;"46.0226919824359";"3.20281963865539";2773;oui
Aigueperse;"63001";Auvergne-Rhône-Alpes;Puy-de-Dôme;63260;Monument;Ancien Hôtel de Marillac;"46.022596";"3.202471";2773;oui
Aigueperse;"63001";Auvergne-Rhône-Alpes;Puy-de-Dôme;63260;Monument;Eglise Notre-Dame;"46.014852";"3.202857";2773;oui
Aigueperse;"63001";Auvergne-Rhône-Alpes;Puy-de-Dôme;63260;Monument;Hôtel Coiffier;"46.016069";"3.20024";2773;oui
Aigueperse;"63001";Auvergne-Rhône-Alpes;Puy-de-Dôme;63260;Monument;Hôtel de Ville Et Beffroi;"46.014852";"3.202857";2773;oui
Aigueperse;"63001";Auvergne-Rhône-Alpes;Puy-de-Dôme;63260;Monument;Maison;"46.022158";"3.201984";2773;oui
Aigueperse;"63001";Auvergne-Rhône-Alpes;Puy-de-Dôme;63260;Monument;Maison À Arcades;"46.021749";"3.201806";2773;oui
Aigueperse;"63001";Auvergne-Rhône-Alpes;Puy-de-Dôme;63260;Monument;Sainte-Chapelle Ou Chapelle Saint-Louis;"46.014852";"3.202857";2773;oui
Aigues-Mortes;"30003";Occitanie;Gard;;Espace protégé;Aigues-Mortes, site patrimonial remarquable;"43.567803";"4.194485";8770;oui
Aigues-Mortes;"30003";Occitanie;Gard;30220;Bibliothèque;Médiathèque intercommunale André Chamson;"43.5652115179176";"4.19213670745588";8770;oui
Aigues-Mortes;"30003";Occitanie;Gard;30220;Cinéma;Cinema Marcel Pagnol;"43.5660433756596";"4.18942515726698";8770;oui
Aigues-Mortes;"30003";Occitanie;Gard;30220;Cinéma, audiovisuel;Écran libre - festival international du court-métrage;"43.5507249635"; 4.18349802063;8770;oui
