Commune	PTOT	REG	DEP	Région	latitude	longitude	code_insee	Type équipement ou lieu	count	categorie
L'Abergement-Clémenciat	848.0	84.0	01	Auvergne-Rhône-Alpes	46.1534255214	4.92611354223	1001.0	Monument	1	patrimoine
Ambérieu-en-Bugey	15240.0	84.0	01	Auvergne-Rhône-Alpes	45.9608475114	5.3729257777	1004.0	Bibliothèque	1	vivant
Ambérieu-en-Bugey	15240.0	84.0	01	Auvergne-Rhône-Alpes	45.9608475114	5.3729257777	1004.0	Cinéma	1	vivant
Ambérieu-en-Bugey	15240.0	84.0	01	Auvergne-Rhône-Alpes	45.9608475114	5.3729257777	1004.0	Monument	3	patrimoine
Ambérieu-en-Bugey	15240.0	84.0	01	Auvergne-Rhône-Alpes	45.9608475114	5.3729257777	1004.0	Service d'archives	1	patrimoine
Ambérieux-en-Dombes	1921.0	84.0	01	Auvergne-Rhône-Alpes	45.9961799872	4.91227250796	1005.0	Bibliothèque	1	vivant
Ambérieux-en-Dombes	1921.0	84.0	01	Auvergne-Rhône-Alpes	45.9961799872	4.91227250796	1005.0	Monument	1	patrimoine
Ambronay	2951.0	84.0	01	Auvergne-Rhône-Alpes	46.0055913782	5.35760660735	1007.0	Bibliothèque	1	vivant
Ambronay	2951.0	84.0	01	Auvergne-Rhône-Alpes	46.0055913782	5.35760660735	1007.0	Centre culturel	1	vivant
Ambronay	2951.0	84.0	01	Auvergne-Rhône-Alpes	46.0055913782	5.35760660735	1007.0	Monument	2	patrimoine
Ambutrix	781.0	84.0	01	Auvergne-Rhône-Alpes	45.9367134524	5.3328092349	1008.0	Bibliothèque	1	vivant
Andert-et-Condon	330.0	84.0	01	Auvergne-Rhône-Alpes	45.7873565333	5.65788307924	1009.0	Monument	1	patrimoine
Anglefort	1149.0	84.0	01	Auvergne-Rhône-Alpes	45.9093715116	5.79516005674	1010.0	Bibliothèque	1	vivant
Anglefort	1149.0	84.0	01	Auvergne-Rhône-Alpes	45.9093715116	5.79516005674	1010.0	Monument	1	patrimoine
Aranc	340.0	84.0	01	Auvergne-Rhône-Alpes	46.0015344029	5.51130637511	1012.0	Bibliothèque	1	vivant
Arbent	3487.0	84.0	01	Auvergne-Rhône-Alpes	46.2834936005	5.69061651221	1014.0	Bibliothèque	1	vivant
Arbent	3487.0	84.0	01	Auvergne-Rhône-Alpes	46.2834936005	5.69061651221	1014.0	Monument	1	patrimoine
Ars-sur-Formans	1526.0	84.0	01	Auvergne-Rhône-Alpes	45.9934611	4.82199649494	1021.0	Bibliothèque	1	vivant
Ars-sur-Formans	1526.0	84.0	01	Auvergne-Rhône-Alpes	45.9934611	4.82199649494	1021.0	Lieu archéologique	1	patrimoine
Ars-sur-Formans	1526.0	84.0	01	Auvergne-Rhône-Alpes	45.9934611	4.82199649494	1021.0	Lieu de mémoire	1	patrimoine
Ars-sur-Formans	1526.0	84.0	01	Auvergne-Rhône-Alpes	45.9934611	4.82199649494	1021.0	Monument	3	patrimoine
